,리뷰수(개),평점,평균 연봉(만)
스타교육개발(주),1,3.0,2925.0
씨엠이,1,3.0,2925.0
아이디어키즈(주),1,3.0,1845.0
안산SRS유치원,1,3.0,3068.6672297297296
양주고등학교,1,4.0,3413.0
어메이징에듀테크코리아(주),1,5.0,3068.6672297297296
에녹(주),1,2.0,3068.6672297297296
에듀씨피에스(주),1,2.0,1865.0
에듀앤조이(주),1,3.0,1680.0
에이치알디캠퍼스(주),1,4.0,5125.0
에이피씨아시아(주),1,5.0,3068.6672297297296
연세대학교 창업지원단,1,4.0,2535.0
영등포공업고등학교,1,2.0,1365.0
예동어린이집,1,4.0,1535.0
예명대학원대학교,1,1.0,2409.0
예향유치원,1,4.0,2200.0
용인백현중학교,1,2.0,2953.0
울산강남초등학교,1,3.0,2733.0
월계초등학교,1,4.0,3514.0
위드피아노(주),1,2.0,2457.0
의동초등학교,1,3.0,2563.0
이글에듀(주),1,3.0,3068.6672297297296
장유직업전문학교,1,1.0,1755.0
전북여자고등학교,1,3.0,3075.0
절강월수외국어대학교,1,3.0,1575.0
제일보습학원,1,1.0,3068.6672297297296
젠아이제일학원(주),1,3.0,1950.0
종근당아카데미,1,2.0,3068.6672297297296
중계중학교,1,3.0,2267.0
중리중학교,1,3.0,2945.0
중앙전산직업전문학교,1,2.0,3068.6672297297296
청담고등학교,1,2.0,2925.0
청량초등학교,1,5.0,1290.0
파주광일중학교,1,4.0,1716.0
푸른학원(주),1,4.0,3220.0
하늘교육노량진중앙학원(주),1,4.0,7175.0
한동대학교 첨단기계기술연구소,1,4.0,1113.0
한빛고시학원,1,3.0,3129.0
해피컴퍼니(주),1,5.0,2190.0
